autonomous_region,province,age_interval,num_infections,num_hosp,num_uci,num_dead,Number of infection (%),Number of hospitalisation (%),Number of Intensive Care Unit (%),Number of deaths (%)
Extremadura,Badajoz,80+,3467,1084,7,521,0.1,0.3,0.0,0.7000000000000001
Extremadura,Cáceres,0-9,1718,10,0,0,0.0,0.0,0.0,0.0
Extremadura,Cáceres,10-19,2518,4,0,0,0.1,0.0,0.0,0.0
Extremadura,Cáceres,20-29,3159,18,4,1,0.1,0.0,0.0,0.0
Extremadura,Cáceres,30-39,2994,50,5,0,0.1,0.0,0.0,0.0
Extremadura,Cáceres,40-49,3766,135,12,5,0.1,0.0,0.0,0.0
Extremadura,Cáceres,50-59,4006,308,38,21,0.1,0.1,0.1,0.0
Extremadura,Cáceres,60-69,2734,380,68,63,0.1,0.1,0.2,0.1
Extremadura,Cáceres,70-79,1803,433,56,133,0.0,0.1,0.2,0.2
Extremadura,Cáceres,80+,2777,979,5,548,0.1,0.3,0.0,0.7000000000000001
Galicia,A Coruña,0-9,3854,25,1,0,0.1,0.0,0.0,0.0
Galicia,A Coruña,10-19,5189,28,1,2,0.1,0.0,0.0,0.0
Galicia,A Coruña,20-29,6291,112,8,0,0.2,0.0,0.0,0.0
Galicia,A Coruña,30-39,7571,249,25,2,0.2,0.1,0.1,0.0
Galicia,A Coruña,40-49,10059,622,113,6,0.3,0.2,0.3,0.0
Galicia,A Coruña,50-59,8379,889,179,36,0.2,0.3,0.5,0.0
Galicia,A Coruña,60-69,6197,1230,301,79,0.2,0.3,0.8999999999999999,0.1
Galicia,A Coruña,70-79,4663,1476,327,242,0.1,0.4,1.0,0.3
Galicia,A Coruña,80+,4467,1686,46,706,0.1,0.5,0.1,0.8999999999999999
Galicia,Lugo,0-9,950,5,0,0,0.0,0.0,0.0,0.0
Galicia,Lugo,10-19,1133,4,0,0,0.0,0.0,0.0,0.0
Galicia,Lugo,20-29,1350,20,2,0,0.0,0.0,0.0,0.0
Galicia,Lugo,30-39,1639,40,6,0,0.0,0.0,0.0,0.0
Galicia,Lugo,40-49,2067,68,8,0,0.1,0.0,0.0,0.0
Galicia,Lugo,50-59,1900,127,19,2,0.1,0.0,0.1,0.0
Galicia,Lugo,60-69,1408,172,35,10,0.0,0.0,0.1,0.0
Galicia,Lugo,70-79,1033,214,45,18,0.0,0.1,0.1,0.0
Galicia,Lugo,80+,1378,360,3,126,0.0,0.1,0.0,0.2
Galicia,Ourense,0-9,826,2,0,0,0.0,0.0,0.0,0.0
Galicia,Ourense,10-19,1148,12,0,0,0.0,0.0,0.0,0.0
Galicia,Ourense,20-29,1449,22,1,0,0.0,0.0,0.0,0.0
Galicia,Ourense,30-39,1802,69,4,0,0.0,0.0,0.0,0.0
Galicia,Ourense,40-49,2401,104,17,0,0.1,0.0,0.1,0.0
Galicia,Ourense,50-59,2370,200,25,8,0.1,0.1,0.1,0.0
Galicia,Ourense,60-69,1903,275,52,15,0.1,0.1,0.2,0.0
Galicia,Ourense,70-79,1592,416,58,57,0.0,0.1,0.2,0.1
Galicia,Ourense,80+,2138,778,5,309,0.1,0.2,0.0,0.4
Galicia,Pontevedra,0-9,3134,27,1,0,0.1,0.0,0.0,0.0
Galicia,Pontevedra,10-19,4267,24,2,0,0.1,0.0,0.0,0.0
Galicia,Pontevedra,20-29,4590,78,5,1,0.1,0.0,0.0,0.0
Galicia,Pontevedra,30-39,5733,185,17,2,0.2,0.1,0.1,0.0
Galicia,Pontevedra,40-49,7725,379,36,1,0.2,0.1,0.1,0.0
Galicia,Pontevedra,50-59,6513,562,97,27,0.2,0.2,0.3,0.0
Galicia,Pontevedra,60-69,4507,701,174,43,0.1,0.2,0.5,0.1
Galicia,Pontevedra,70-79,3218,806,121,105,0.1,0.2,0.4,0.1
Galicia,Pontevedra,80+,3241,1082,33,426,0.1,0.3,0.1,0.6
Illes Balears,Illes Balears,0-9,4287,19,0,0,0.1,0.0,0.0,0.0
Illes Balears,Illes Balears,10-19,6290,18,5,0,0.2,0.0,0.0,0.0
Illes Balears,Illes Balears,20-29,9186,80,5,2,0.2,0.0,0.0,0.0
Illes Balears,Illes Balears,30-39,10482,224,26,4,0.3,0.1,0.1,0.0
Illes Balears,Illes Balears,40-49,11120,574,83,5,0.3,0.2,0.3,0.0
Illes Balears,Illes Balears,50-59,8508,777,156,22,0.2,0.2,0.5,0.0
Illes Balears,Illes Balears,60-69,5159,854,212,79,0.1,0.2,0.6,0.1
Illes Balears,Illes Balears,70-79,3115,894,186,178,0.1,0.3,0.6,0.2
Illes Balears,Illes Balears,80+,2889,1126,48,454,0.1,0.3,0.1,0.6
La Rioja,La Rioja,0-9,2029,13,1,0,0.1,0.0,0.0,0.0
La Rioja,La Rioja,10-19,3113,18,2,1,0.1,0.0,0.0,0.0
La Rioja,La Rioja,20-29,3514,72,3,0,0.1,0.0,0.0,0.0
La Rioja,La Rioja,30-39,3921,147,10,4,0.1,0.0,0.0,0.0
La Rioja,La Rioja,40-49,5158,329,31,11,0.1,0.1,0.1,0.0
La Rioja,La Rioja,50-59,4862,499,79,13,0.1,0.1,0.2,0.0
La Rioja,La Rioja,60-69,3515,592,121,46,0.1,0.2,0.4,0.1
La Rioja,La Rioja,70-79,2429,663,110,124,0.1,0.2,0.3,0.2
La Rioja,La Rioja,80+,2954,1016,10,465,0.1,0.3,0.0,0.6
Melilla,Melilla,0-9,1091,4,0,0,0.0,0.0,0.0,0.0
Melilla,Melilla,10-19,1273,4,0,0,0.0,0.0,0.0,0.0
Melilla,Melilla,20-29,1459,27,1,0,0.0,0.0,0.0,0.0
Melilla,Melilla,30-39,1543,73,8,0,0.0,0.0,0.0,0.0
Melilla,Melilla,40-49,1361,75,12,1,0.0,0.0,0.0,0.0
Melilla,Melilla,50-59,1172,111,21,11,0.0,0.0,0.1,0.0
Melilla,Melilla,60-69,760,125,24,12,0.0,0.0,0.1,0.0
Melilla,Melilla,70-79,301,52,10,9,0.0,0.0,0.0,0.0
Melilla,Melilla,80+,228,73,2,16,0.0,0.0,0.0,0.0
País Vasco,Araba,0-9,2447,11,1,0,0.1,0.0,0.0,0.0
País Vasco,Araba,10-19,3643,13,0,0,0.1,0.0,0.0,0.0
País Vasco,Araba,20-29,3176,32,1,1,0.1,0.0,0.0,0.0
País Vasco,Araba,30-39,3709,98,8,1,0.1,0.0,0.0,0.0
País Vasco,Araba,40-49,5045,214,7,10,0.1,0.1,0.0,0.0
País Vasco,Araba,50-59,4400,352,36,16,0.1,0.1,0.1,0.0
País Vasco,Araba,60-69,2688,447,58,56,0.1,0.1,0.2,0.1
País Vasco,Araba,70-79,1936,602,84,152,0.1,0.2,0.3,0.2
País Vasco,Araba,80+,2088,695,7,405,0.1,0.2,0.0,0.5
País Vasco,Bizkaia,0-9,7718,18,1,1,0.2,0.0,0.0,0.0
País Vasco,Bizkaia,10-19,11882,22,2,0,0.3,0.0,0.0,0.0
País Vasco,Bizkaia,20-29,12161,140,8,2,0.3,0.0,0.0,0.0
País Vasco,Bizkaia,30-39,13107,465,37,8,0.4,0.1,0.1,0.0
País Vasco,Bizkaia,40-49,17653,1117,96,19,0.5,0.3,0.3,0.0
País Vasco,Bizkaia,50-59,16111,1821,171,60,0.4,0.5,0.5,0.1
País Vasco,Bizkaia,60-69,10234,2005,292,176,0.3,0.6,0.8999999999999999,0.2
País Vasco,Bizkaia,70-79,6412,2023,268,428,0.2,0.6,0.8,0.6
País Vasco,Bizkaia,80+,7727,2809,43,1735,0.2,0.8,0.1,2.3
País Vasco,Gipuzkoa,0-9,5491,6,1,0,0.1,0.0,0.0,0.0
País Vasco,Gipuzkoa,10-19,9493,11,1,0,0.3,0.0,0.0,0.0
País Vasco,Gipuzkoa,20-29,8469,27,2,0,0.2,0.0,0.0,0.0
País Vasco,Gipuzkoa,30-39,8352,95,16,1,0.2,0.0,0.0,0.0
País Vasco,Gipuzkoa,40-49,11578,213,16,8,0.3,0.1,0.0,0.0
País Vasco,Gipuzkoa,50-59,10762,356,55,37,0.3,0.1,0.2,0.0
País Vasco,Gipuzkoa,60-69,6825,493,87,106,0.2,0.1,0.3,0.1
País Vasco,Gipuzkoa,70-79,4656,613,98,231,0.1,0.2,0.3,0.3
País Vasco,Gipuzkoa,80+,4429,918,5,796,0.1,0.3,0.0,1.0999999999999999
Principado de Asturias,Asturias,0-9,2816,9,0,0,0.1,0.0,0.0,0.0
Principado de Asturias,Asturias,10-19,4326,23,2,0,0.1,0.0,0.0,0.0
Principado de Asturias,Asturias,20-29,4609,90,9,2,0.1,0.0,0.0,0.0
Principado de Asturias,Asturias,30-39,5804,246,18,3,0.2,0.1,0.1,0.0
Principado de Asturias,Asturias,40-49,8255,628,45,8,0.2,0.2,0.1,0.0
Principado de Asturias,Asturias,50-59,7725,1027,137,40,0.2,0.3,0.4,0.1
Principado de Asturias,Asturias,60-69,5976,1434,231,124,0.2,0.4,0.7000000000000001,0.2
Principado de Asturias,Asturias,70-79,4221,1554,220,321,0.1,0.4,0.7000000000000001,0.4
Principado de Asturias,Asturias,80+,5620,2899,48,1288,0.2,0.8,0.1,1.7000000000000002
Región de de Murcia,Murcia,0-9,8611,34,3,0,0.2,0.0,0.0,0.0
Región de de Murcia,Murcia,10-19,13819,89,9,0,0.4,0.0,0.0,0.0
Región de de Murcia,Murcia,20-29,17279,303,24,0,0.5,0.1,0.1,0.0
Región de de Murcia,Murcia,30-39,16882,653,53,6,0.5,0.2,0.2,0.0
Región de de Murcia,Murcia,40-49,19663,1201,162,24,0.5,0.3,0.5,0.0
Región de de Murcia,Murcia,50-59,16357,1695,297,74,0.4,0.5,0.8999999999999999,0.1
Región de de Murcia,Murcia,60-69,9262,1656,354,155,0.2,0.5,1.0999999999999999,0.2
Región de de Murcia,Murcia,70-79,5396,1559,248,337,0.1,0.4,0.7000000000000001,0.4
Región de de Murcia,Murcia,80+,4817,1807,36,929,0.1,0.5,0.1,1.2
