,date,num_infections,num_hosp,num_uci,num_dead,cumu_num_infections,cumu_num_hosp,cumu_num_uci,cumu_num_dead,ave_7_num_infections,ave_7_num_hosp,ave_7_num_uci,ave_7_num_dead,pred_num_infections,pred_num_hosp,pred_num_uci,pred_num_dead
477,2021-06-08,4078.0,183.0,15.0,19.0,3689388.0,350702.0,33131.0,75554.0,3756.8571428571427,188.14285714285714,17.0,16.571428571428573,,,,
478,2021-06-09,3980.0,159.0,11.0,12.0,3693368.0,350861.0,33142.0,75566.0,3596.8571428571427,178.0,16.428571428571427,15.0,,,,
479,2021-06-10,3897.0,151.0,10.0,13.0,3697265.0,351012.0,33152.0,75579.0,3519.714285714286,171.57142857142858,14.0,14.285714285714286,,,,
480,2021-06-11,3915.0,167.0,11.0,7.0,3701180.0,351179.0,33163.0,75586.0,3443.5714285714284,168.14285714285714,13.0,12.714285714285714,,,,
481,2021-06-12,2137.0,103.0,6.0,5.0,3703317.0,351282.0,33169.0,75591.0,3406.0,162.42857142857142,11.714285714285714,11.285714285714286,,,,
482,2021-06-13,1495.0,94.0,12.0,2.0,3704812.0,351376.0,33181.0,75593.0,3378.5714285714284,154.42857142857142,11.0,10.142857142857142,,,,
483,2021-06-14,3437.0,124.0,10.0,3.0,3708249.0,351500.0,33191.0,75596.0,3277.0,140.14285714285714,10.714285714285714,8.714285714285714,,,,
0,2021-06-11,,,,,,,,,,,,,3436.980030330613,159.8736458776354,11.825538934719921,13.016844133537132
1,2021-06-12,,,,,,,,,,,,,3383.025768964563,157.179156649344,9.694381102717266,12.66717152054546
2,2021-06-13,,,,,,,,,,,,,3347.4098183287915,158.81554483000195,8.542283965143127,13.765633853523374
3,2021-06-14,,,,,,,,,,,,,3330.748340795008,162.8382391249436,8.306021940193393,14.791416893173905
4,2021-06-15,,,,,,,,,,,,,3328.881073470257,167.12833875826274,8.00049625569441,16.457542410515597
5,2021-06-16,,,,,,,,,,,,,3341.7602621518404,179.84182600502245,8.353581321938922,18.820792428546373
6,2021-06-17,,,,,,,,,,,,,3369.1431822354098,190.71205896723703,9.25843894894856,21.751401501453863
